videoId,trackKey,trackId,pedestrianId,firstOffsetSeconds,lastOffsetSeconds,bestOffsetSeconds,firstObservedAt,lastObservedAt,firstTimestamp,lastTimestamp,bestTimestamp,sampleCount,roiQualifiedSampleCount,maxOcclusionClass,thumbnailPath,previewPath,appearanceSummary
2444a2e4,2444a2e4:312,d617822c,312,134.4,134.66,134.46,2025-01-23T11:25:16,2025-01-23T11:25:16,11:25:16 AM,11:25:16 AM,11:25:16 AM,1,1,0,storage/videos/processed/2444a2e4/tracks/track-312.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:319,9575db32,319,135.06,135.26,135.2,2025-01-23T11:25:17,2025-01-23T11:25:17,11:25:17 AM,11:25:17 AM,11:25:17 AM,1,1,0,storage/videos/processed/2444a2e4/tracks/track-319.jpg,,"Representative crop suggests head region appears purple, upper clothing appears purple, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:324,10519761,324,137.06,137.66,137.06,2025-01-23T11:25:19,2025-01-23T11:25:19,11:25:19 AM,11:25:19 AM,11:25:19 AM,1,1,0,storage/videos/processed/2444a2e4/tracks/track-324.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:333,e8c50052,333,140.4,142.0,141.93,2025-01-23T11:25:22,2025-01-23T11:25:24,11:25:22 AM,11:25:24 AM,11:25:23 AM,2,1,0,storage/videos/processed/2444a2e4/tracks/track-333.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:335,bab8ca59,335,140.4,140.53,140.46,2025-01-23T11:25:22,2025-01-23T11:25:22,11:25:22 AM,11:25:22 AM,11:25:22 AM,1,1,0,storage/videos/processed/2444a2e4/tracks/track-335.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:342,a0c7d9e0,342,143.6,143.8,143.6,2025-01-23T11:25:25,2025-01-23T11:25:25,11:25:25 AM,11:25:25 AM,11:25:25 AM,1,1,0,storage/videos/processed/2444a2e4/tracks/track-342.jpg,,"Representative crop suggests head region appears gray, upper clothing appears cyan, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:349,db757518,349,150.2,150.46,150.2,2025-01-23T11:25:32,2025-01-23T11:25:32,11:25:32 AM,11:25:32 AM,11:25:32 AM,1,1,2,storage/videos/processed/2444a2e4/tracks/track-349.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
2444a2e4,2444a2e4:350,13f0bb7e,350,150.73,153.4,150.93,2025-01-23T11:25:32,2025-01-23T11:25:35,11:25:32 AM,11:25:35 AM,11:25:32 AM,4,0,0,storage/videos/processed/2444a2e4/tracks/track-350.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows light occlusion."
2444a2e4,2444a2e4:352,6fdaefcc,352,151.6,151.66,151.66,2025-01-23T11:25:33,2025-01-23T11:25:33,11:25:33 AM,11:25:33 AM,11:25:33 AM,1,0,0,storage/videos/processed/2444a2e4/tracks/track-352.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows light occlusion."
2444a2e4,2444a2e4:353,a16c5126,353,152.73,165.46,154.2,2025-01-23T11:25:34,2025-01-23T11:25:47,11:25:34 AM,11:25:47 AM,11:25:36 AM,14,8,1,storage/videos/processed/2444a2e4/tracks/track-353.jpg,,"Representative crop suggests head region appears gray, upper clothing appears black, lower clothing appears blue. Visibility shows moderate occlusion."
2444a2e4,2444a2e4:358,c72e863e,358,153.26,153.4,153.4,2025-01-23T11:25:35,2025-01-23T11:25:35,11:25:35 AM,11:25:35 AM,11:25:35 AM,1,0,1,storage/videos/processed/2444a2e4/tracks/track-358.jpg,,"Representative crop suggests head region appears gray, upper clothing appears black, lower clothing appears blue. Visibility shows moderate occlusion."
2444a2e4,2444a2e4:379,9b285bed,379,157.93,161.93,161.86,2025-01-23T11:25:39,2025-01-23T11:25:43,11:25:39 AM,11:25:43 AM,11:25:43 AM,5,5,0,storage/videos/processed/2444a2e4/tracks/track-379.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:398,6f62f5cd,398,159.6,159.86,159.6,2025-01-23T11:25:41,2025-01-23T11:25:41,11:25:41 AM,11:25:41 AM,11:25:41 AM,1,1,0,storage/videos/processed/2444a2e4/tracks/track-398.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows light occlusion."
2444a2e4,2444a2e4:408,3fbe9dfc,408,162.66,163.73,163.73,2025-01-23T11:25:44,2025-01-23T11:25:45,11:25:44 AM,11:25:45 AM,11:25:45 AM,2,0,2,storage/videos/processed/2444a2e4/tracks/track-408.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows heavy occlusion."
2444a2e4,2444a2e4:411,7a902db6,411,163.4,179.8,164.26,2025-01-23T11:25:45,2025-01-23T11:26:01,11:25:45 AM,11:26:01 AM,11:25:46 AM,17,16,1,storage/videos/processed/2444a2e4/tracks/track-411.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows moderate occlusion."
2444a2e4,2444a2e4:417,a4ae5b3b,417,166.46,167.53,166.8,2025-01-23T11:25:48,2025-01-23T11:25:49,11:25:48 AM,11:25:49 AM,11:25:48 AM,2,2,0,storage/videos/processed/2444a2e4/tracks/track-417.jpg,,"Representative crop suggests head region appears blue, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:423,0c8d2516,423,167.73,167.86,167.73,2025-01-23T11:25:49,2025-01-23T11:25:49,11:25:49 AM,11:25:49 AM,11:25:49 AM,1,1,0,storage/videos/processed/2444a2e4/tracks/track-423.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:428,f38ddf67,428,167.86,168.06,167.86,2025-01-23T11:25:49,2025-01-23T11:25:50,11:25:49 AM,11:25:50 AM,11:25:49 AM,2,2,0,storage/videos/processed/2444a2e4/tracks/track-428.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows light occlusion."
2444a2e4,2444a2e4:442,1e5343cd,442,170.33,170.93,170.86,2025-01-23T11:25:52,2025-01-23T11:25:52,11:25:52 AM,11:25:52 AM,11:25:52 AM,1,0,0,storage/videos/processed/2444a2e4/tracks/track-442.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows light occlusion."
2444a2e4,2444a2e4:467,8cc432a1,467,178.13,179.93,178.2,2025-01-23T11:26:00,2025-01-23T11:26:01,11:26:00 AM,11:26:01 AM,11:26:00 AM,2,2,0,storage/videos/processed/2444a2e4/tracks/track-467.jpg,,"Representative crop suggests head region appears blue, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:475,a3aabf32,475,178.66,179.93,179.33,2025-01-23T11:26:00,2025-01-23T11:26:01,11:26:00 AM,11:26:01 AM,11:26:01 AM,2,2,0,storage/videos/processed/2444a2e4/tracks/track-475.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:479,e8f96341,479,179.2,181.26,180.8,2025-01-23T11:26:01,2025-01-23T11:26:03,11:26:01 AM,11:26:03 AM,11:26:02 AM,3,3,0,storage/videos/processed/2444a2e4/tracks/track-479.jpg,,"Representative crop suggests head region appears purple, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
