videoId,trackKey,trackId,pedestrianId,offsetSeconds,videoTime,observedAt,clockTime,xNorm,yNorm,occlusionClass,occlusionLabel,insideROI
cddc3f69,cddc3f69:1,3e4bfc80,1,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.259896,0.996296,2,heavy occlusion,false
cddc3f69,cddc3f69:1,3e4bfc80,1,1,00:00:01,2025-01-23T13:00:01,13:00:01,0.160417,1.0,2,heavy occlusion,false
cddc3f69,cddc3f69:2,edd74767,2,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.540104,0.987963,1,moderate occlusion,false
cddc3f69,cddc3f69:2,edd74767,2,1,00:00:01,2025-01-23T13:00:01,13:00:01,0.66875,0.952778,1,moderate occlusion,false
cddc3f69,cddc3f69:2,edd74767,2,2,00:00:02,2025-01-23T13:00:02,13:00:02,0.958854,1.0,2,heavy occlusion,false
cddc3f69,cddc3f69:2,edd74767,2,3,00:00:03,2025-01-23T13:00:03,13:00:03,0.966667,0.941667,2,heavy occlusion,false
cddc3f69,cddc3f69:3,6065803d,3,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.203125,0.996296,2,heavy occlusion,false
cddc3f69,cddc3f69:4,6ce47835,4,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.277865,0.928704,2,heavy occlusion,true
cddc3f69,cddc3f69:4,6ce47835,4,1,00:00:01,2025-01-23T13:00:01,13:00:01,0.365885,0.92963,1,moderate occlusion,true
cddc3f69,cddc3f69:4,6ce47835,4,2,00:00:02,2025-01-23T13:00:02,13:00:02,0.54401,0.993519,1,moderate occlusion,false
cddc3f69,cddc3f69:4,6ce47835,4,3,00:00:03,2025-01-23T13:00:03,13:00:03,0.266927,0.993519,1,moderate occlusion,true
cddc3f69,cddc3f69:4,6ce47835,4,4,00:00:04,2025-01-23T13:00:04,13:00:04,0.044271,0.988889,2,heavy occlusion,false
cddc3f69,cddc3f69:5,a7dc53dd,5,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.71849,0.996296,1,moderate occlusion,false
cddc3f69,cddc3f69:6,a5961361,6,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.511198,0.962963,1,moderate occlusion,false
cddc3f69,cddc3f69:7,24381f0f,7,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.934896,0.991667,2,heavy occlusion,false
cddc3f69,cddc3f69:7,24381f0f,7,1,00:00:01,2025-01-23T13:00:01,13:00:01,0.88776,0.999074,2,heavy occlusion,false
cddc3f69,cddc3f69:8,fe8ead5c,8,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.348698,0.946296,1,moderate occlusion,true
cddc3f69,cddc3f69:8,fe8ead5c,8,1,00:00:01,2025-01-23T13:00:01,13:00:01,0.440365,0.916667,2,heavy occlusion,false
cddc3f69,cddc3f69:8,fe8ead5c,8,2,00:00:02,2025-01-23T13:00:02,13:00:02,0.635156,0.990741,2,heavy occlusion,false
cddc3f69,cddc3f69:8,fe8ead5c,8,3,00:00:03,2025-01-23T13:00:03,13:00:03,0.383333,0.987037,1,moderate occlusion,true
cddc3f69,cddc3f69:8,fe8ead5c,8,4,00:00:04,2025-01-23T13:00:04,13:00:04,0.045573,0.994444,2,heavy occlusion,false
cddc3f69,cddc3f69:9,ca700c1d,9,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.785677,0.983333,2,heavy occlusion,false
cddc3f69,cddc3f69:10,0d18f798,10,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.588542,0.813889,2,heavy occlusion,false
cddc3f69,cddc3f69:11,34357242,11,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.60599,0.898148,1,moderate occlusion,false
cddc3f69,cddc3f69:12,1001e60d,12,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.819531,1.0,2,heavy occlusion,false
cddc3f69,cddc3f69:12,1001e60d,12,1,00:00:01,2025-01-23T13:00:01,13:00:01,0.821094,0.99537,2,heavy occlusion,false
cddc3f69,cddc3f69:13,ca509d41,13,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.928646,0.891667,2,heavy occlusion,false
cddc3f69,cddc3f69:14,15f85e41,14,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.945573,0.869444,2,heavy occlusion,false
cddc3f69,cddc3f69:15,32941aa9,15,0,00:00:00,2025-01-23T13:00:00,13:00:00,0.507292,0.886111,1,moderate occlusion,false
cddc3f69,cddc3f69:15,32941aa9,15,1,00:00:01,2025-01-23T13:00:01,13:00:01,0.615625,0.863889,2,heavy occlusion,false
cddc3f69,cddc3f69:15,32941aa9,15,2,00:00:02,2025-01-23T13:00:02,13:00:02,0.90651,0.997222,2,heavy occlusion,false
cddc3f69,cddc3f69:15,32941aa9,15,3,00:00:03,2025-01-23T13:00:03,13:00:03,0.636198,0.989815,2,heavy occlusion,false
cddc3f69,cddc3f69:15,32941aa9,15,4,00:00:04,2025-01-23T13:00:04,13:00:04,0.134896,0.990741,2,heavy occlusion,false
